Organisation,CountryName,CityName,C40,ReportingYear,Sector,TargetBoundary,BaselineYear,BaselineEmissions,PercentageReductionTarget,TargetDate,Comment,CityLocation
Odder Kommune,Denmark,Odder Kommune,,2016,Total,,2010,6136,2,,,"(55.975718, 10.149958)"
Comune di Napoli,Italy,Napoli,,2016,Total,,2005,2913434,25,2020,,"(40.8419943, 14.2513831)"
Egedal Municipality,Denmark,Egedal Municipality,,2016,Total,,2009,268000,7,2020,"The municipality are increasing in terms of citizens, business, buldings,highways etc.","(55.795045, 12.238733)"
Yilan County,Taiwan,"Yilan ",,2016,Total,,2009,3804493,35,2020,,"(24.702107, 121.73775)"
"City of Emeryville, CA",USA,"Emeryville, CA",,2016,Total,Overall community emissions,2004,178832,40,2030,,"(37.831316, -122.285247)"
"City of Emeryville, CA",USA,"Emeryville, CA",,2016,Total,Overall community emissions,2004,178832,80,2050,,"(37.831316, -122.285247)"
Communauté urbaine du Grand Nancy,France,Communauté urbaine du Grand Nancy,,2016,Total,,1990,1700000,20,2020,,"(48.692054, 6.184417)"
Aarhus Kommune,Denmark,Aarhus Kommune,,2016,Total,community,2008,2100000,100,2030,,"(56.168393, 10.137373)"
Amiens Métropole,France,Amiens Métropole,,2016,,,2012,630000,20,2020,,"(49.894067, 2.295753)"
Ayuntamiento de Murcia,Spain,Murcia,,2016,Total,,2007,2141272,20,2020,DATA IN CO2 (NOT CO2e),"(37.799013, -1.00495)"
City of Atlanta,USA,Atlanta,,2016,Waste,city-wide control,2009,800000,80,2020,Reevaluation of recycling curbing and educational programs with public and private sector,"(33.7489954, -84.3879824)"
Barreiro,Portugal,Barreiro,,2016,Other,Electricity and petroleum fuels,2008,347987,20,2020,There is a difference between the amount of CO2 emissions presented in SEAP and this table due to a change in the calculation methodology.,"(38.660815, -9.079072)"
Birmingham City Council,United Kingdom,Birmingham,,2016,Total,City authority,1990,6874000,60,2027,This is in line with national carbon budget periods,"(52.480174, -1.902907)"
City of Ærøskøbing,Denmark,City of Ærøskøbing,,2016,Total,,2015,,10,,,"(54.891456, 10.404684)"
City of Akureyri,Iceland,Akureyri,,2016,Total,,1990,,40,2030,,"(65.688492, -18.126169)"
City of Bournemouth,United Kingdom,Bournemouth,,2016,Total,Entire Inventory,2005,1075590,30,2020,The 2005 baseline emissions are 5.7tCO2e per person.  The target for 2020 is 3.99 tonnes CO2e per person. The outturn figure for 2013 was 4.1 tonnes of CO2 per person.,"(50.719164, -1.880769)"
City of Cardiff,United Kingdom,Cardiff,,2016,Total,,2005,2667000,26,2020,"This 26% reduction target is for per capita emissions (NB Cardiff is the UKs fastest growing city).  The per capita carbon emissions were 8.3 tonnes in 2005 and are 6.1 in 2013, demonstrating a 27% reduction in per capita emissions.  (The reduction in absolute emissions from 2005 to 2013 is 20%)","(51.481581, -3.17909)"
City of Helsinki,Finland,Helsinki,,2016,Total,"Energy consumption in the area, transport emissions, waste management, agriculture, industry",1990,3615000,30,2020,City Council Strategy 2013-2016,"(60.1733244, 24.9410248)"
