Organization,CityName,Country,Region,C40,ReportingYear,Boundary,GasesIncluded,TotalCityWideEmissions,Comment,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,Population,PopulationYear,CityGDP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​AverageAltitude,​LandArea,CityLocation
Nelson Mandela Bay Municipality,"Nelson Mandela Bay ",South Africa,Africa,,2017,A metropolitan area,,12232310,,Increased,We are gradually improving the accuracy of our data collection,1152115,2011,52147,ZAR     South African Rand,2010,Built Environment Performance Plan(BEPP),17.5,69,1950,"(-33.745241, 25.568108)"
Ayuntamiento de Madrid,Madrid,Spain,Europe,C40,2017,Administrative boundary of a local government,,9236196,,Decreased,"A decrease  of a 2,17 % in global emissions in 2014 in comparison to 2013, Although Scope 2 and 3 Emissions have been increased in a 4,86 %, Scope 1 emissions have been reduced in a 5,57 %",3165883,2016,129378000000,EUR     Euro,2015,Contabilidad Municipal Trimestral. Ciudad de Madrid. Base 2010. Serie 2000-2015,15,655,604,"(40.1076253, -3.3875673)"
New York City,New York City,USA,North America,C40,2017,Administrative boundary of a local government,,52042186,,Decreased,The most significant driver was a milder winter in 2015 versus 2014.,8537673,2016,1558520000000,USD     US Dollar,2015,http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor,13,10,784,"(40.7127837, -74.0059413)"
"City of Denton, TX","Denton, TX",USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,1604007,The one sector of tracking and reporting accurate emissions that we lack some confidence is Transportation because the figures are based on estimations from a regional council of governments.,Decreased,"Overall Community GHGs have fallen 1% since 2002, with a 13% reduction since 2006. Generally we continue on a downward emissions trend, with a 1% reduction from 2011 to 2015. Community emissions per capita have also steadily dropped over time from 17.51 to 12.24 metric tons CO2e/person, a 30 % reduction, from 2002 to 2015. In addition, per capita emissions are 34% lower for Denton than for the U.S. average, in 2015 (World Bank). 

The largest sources of community GHGs are from transportation (46%) and from residential (19%), commercial (10%), and industrial (18%) electricity consumption (together totaling 47% of Community GHGs). Emissions from the wastewater digester represent less than 1 % of total municipal GHG’s.

As with municipal operations, Community electricity related emissions have dropped by 26% from 2006, including a 3% drop from 2011 to 2015. This reduction is largely due to DME purchasing 40% wind electricity for all Denton customers beginning in 2009, and reducing purchases from coal produced electricity by 44% from 2011 to 2015.  It is important to note, that electricity related emissions from municipal operations dropped 11% from 2011 to 2015. In addition DME expanded it’s free residential and small commercial energy audit program in 2008, and launched the GreenSense Energy Efficiency Rebate program for residential and small commercial customers in 2009.  The City created a Conservation Program Coordinator position in 2014 to enhance the audit and rebate program, and to develop increased public education about energy and water conservation. In addition, the City created a Bike and Pedestrian Coordinator position in 2015, to implement the Bike Plan adopted in February 2012. The Coordinators responsibilities include promoting bicycle and pedestrian infrastructure, education, and community events.",131044,2015,,,,,18.2,192,227.8,"(33.214841, -97.133068)"
Ville de Montreal,Montreal,Canada,North America,C40,2017,A metropolitan area,,10197555,,Decreased,"Agglomeration-wide GHG emissions were 25% lower in 2013 compared to 1990, the baseline year. This is due to a combination of factors including :

- Decreased consumption of fuel oil of all sectors stationary energy
- Closure of one oil refinery.
- Increased efficiency of collecting biogas from landfills


Also, GHG emissions were 21 % lower in 2013 compared to 2009, the previous inventory, without factoring in methodological changes applied in 2013.",1959987,2013,115412801,CAD     Canadian Dollar,2013,Institut de la statistique du Québec,6.8,17,500,"(45.5086699, -73.5539925)"
City of Burlington,Burlington,USA,North America,,2017,Administrative boundary of a local government,CO2,405385,This number is the total amount of emissions provided in our GHG emissions inventory and modeling workbook.,Decreased,"Burlington continues to ""green"" its energy mix. With cleaner sources of energy supplying electricity to the grid, fewer emissions are being released.",42284,2015,12700000,USD     US Dollar,2014,Bureau of Economic Analysis,7.7,61,40.1,"(44.4758825, -73.212072)"
Wellington City Council,Wellington,New Zealand,South Asia and Oceania,,2017,Administrative boundary of a local government,,773061,,Decreased,"The decrease in emissions we have experienced is largely due to reductions in emissions from stationary energy. This decrease is primarily from a reduction in demand, but also from the increasing proportion of renewable energy generated in New Zealand.",209102,2017,18452000000,NZD     New Zealand Dollar,2015,Infometrics,12.7,,290.1,"(26.661763, -80.268357)"
City of Seattle,Seattle,USA,North America,C40,2017,Administrative boundary of a local government,CO2; CH4; SF6,3471000,The level of uncertainty associated with the data is addressed in the source notes in each section. http://www.seattle.gov/Documents/Departments/OSE/ClimateDocs/2014GHG%20inventorySept2016.pdf,Decreased,"The total amount of GHGs emitted from the core emissions sources has declined 6% between 2008 and 2014, from 3.7 to 3.5 million metric tons of CO2-equivalent (CO2e).  However, Seattle’s population grew by 13% in the same period resulting in a per person decline in emissions of 17%.
Road transportation has been the largest category of emissions since 1990. Total emissions in this sector increased between 1990 and 2008, however, they have been decreasing since 2008. Advances in vehicle technology, plus a trend towards fewer vehicle miles travelled per person, have led both to decreased absolute emissions from road transportation (down 2% since 2008) and decreased emissions per person (down 13% during this period).
Between 2008 and 2014, building-related emissions declined as a result of lower overall building energy use, particularly for residential buildings, due to energy efficiency, more multi-family living, and especially by warmer weather that reduced winter heating needs.

This decline, though modest, is more impressive considering Seattle’s population and economy have grown considerably since 1990.  On a per resident basis, Seattle’s emissions declined  22% per since 1990 and 6% since 2008.

A number of factors led to emissions decreases that counteracted the effect of population and economic growth, especially (as already noted) the decrease in carbon intensity of Seattle City Light’s electricity, more efficient cars and trucks, and building efficiency (including smaller dwellings) and fuel switching.  Increased efficiency of air travel also contributed to a decrease in GHG emissions.",662400,2015,300827000000,,2014,US Dept Commerce for Seattle-Tacoma-Bellevue region,11,15,3692,"(47.6062, -122.3321)"
Tainan City Government,"Tainan ",Taiwan,East Asia,,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,21458525,,Decreased,"First, the amounts of LPG and heavy oil from industry were decreased and some replace LPG and heavy oil as LNG.",1886033,2016,42492323490,USD     US Dollar,2016,"National Statistics, ROC (Taiwan)",24,,2192,"(22.9999, 120.2269)"
City of Rochester,Rochester,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,1800000,"This GHG inventory was conducted by the Brendle Group, a Colorado-based environmental consulting firm.",,,210563,2010,43202,USD     US Dollar,2013,Open Data Network,9,154,96,"(43.161, -77.6109)"
