Organisation,CountryName,CityName,C40,ReportingYear,Sector,TargetBoundary,BaselineYear,BaselineEmissions,PercentageReductionTarget,TargetDate,Comment,CityLocation,Country,CityName.1,MeasurementYear,Boundary,PrimaryMethodology,MethodologyDetails,GasesIncluded,TotalCityWideEmissions,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,PopulationYear,CurrentPopulation,CityGPP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​LandArea,AverageAltitude,Organization,Region,Population,CityGDP,​AverageAltitude,Access,TypeOfTarget,Target date,EstimatedBAUAbsoluteEmissions,​IntensityUnit,Questionnaire,AssessmentAttachmentOrDirectLink,BoundaryAssessment,YearOfPublicationOrApproval,FactorsConsidered,PrimaryAuthors,AdaptionGoalOrPlan,LastUpdate
Odder Kommune,Denmark,Odder Kommune,,2016.0,Total,,2010,6136.0,2.0,,,"(55.975718, 10.149958)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Napoli,Italy,Napoli,,2016.0,Total,,2005,2913434.0,25.0,2020.0,,"(40.8419943, 14.2513831)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egedal Municipality,Denmark,Egedal Municipality,,2016.0,Total,,2009,268000.0,7.0,2020.0,"The municipality are increasing in terms of citizens, business, buldings,highways etc.","(55.795045, 12.238733)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yilan County,Taiwan,Yilan ,,2016.0,Total,,2009,3804493.0,35.0,2020.0,,"(24.702107, 121.73775)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Emeryville, CA",USA,"Emeryville, CA",,2016.0,Total,Overall community emissions,2004,178832.0,40.0,2030.0,,"(37.831316, -122.285247)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Emeryville, CA",USA,"Emeryville, CA",,2016.0,Total,Overall community emissions,2004,178832.0,80.0,2050.0,,"(37.831316, -122.285247)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communauté urbaine du Grand Nancy,France,Communauté urbaine du Grand Nancy,,2016.0,Total,,1990,1700000.0,20.0,2020.0,,"(48.692054, 6.184417)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarhus Kommune,Denmark,Aarhus Kommune,,2016.0,Total,community,2008,2100000.0,100.0,2030.0,,"(56.168393, 10.137373)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiens Métropole,France,Amiens Métropole,,2016.0,,,2012,630000.0,20.0,2020.0,,"(49.894067, 2.295753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayuntamiento de Murcia,Spain,Murcia,,2016.0,Total,,2007,2141272.0,20.0,2020.0,DATA IN CO2 (NOT CO2e),"(37.799013, -1.00495)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Atlanta,USA,Atlanta,,2016.0,Waste,city-wide control,2009,800000.0,80.0,2020.0,Reevaluation of recycling curbing and educational programs with public and private sector,"(33.7489954, -84.3879824)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barreiro,Portugal,Barreiro,,2016.0,Other,Electricity and petroleum fuels,2008,347987.0,20.0,2020.0,There is a difference between the amount of CO2 emissions presented in SEAP and this table due to a change in the calculation methodology.,"(38.660815, -9.079072)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham City Council,United Kingdom,Birmingham,,2016.0,Total,City authority,1990,6874000.0,60.0,2027.0,This is in line with national carbon budget periods,"(52.480174, -1.902907)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Ærøskøbing,Denmark,City of Ærøskøbing,,2016.0,Total,,2015,,10.0,,,"(54.891456, 10.404684)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Akureyri,Iceland,Akureyri,,2016.0,Total,,1990,,40.0,2030.0,,"(65.688492, -18.126169)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Bournemouth,United Kingdom,Bournemouth,,2016.0,Total,Entire Inventory,2005,1075590.0,30.0,2020.0,The 2005 baseline emissions are 5.7tCO2e per person.  The target for 2020 is 3.99 tonnes CO2e per person. The outturn figure for 2013 was 4.1 tonnes of CO2 per person.,"(50.719164, -1.880769)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Cardiff,United Kingdom,Cardiff,,2016.0,Total,,2005,2667000.0,26.0,2020.0,"This 26% reduction target is for per capita emissions (NB Cardiff is the UKs fastest growing city).  The per capita carbon emissions were 8.3 tonnes in 2005 and are 6.1 in 2013, demonstrating a 27% reduction in per capita emissions.  (The reduction in absolute emissions from 2005 to 2013 is 20%)","(51.481581, -3.17909)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Helsinki,Finland,Helsinki,,2016.0,Total,"Energy consumption in the area, transport emissions, waste management, agriculture, industry",1990,3615000.0,30.0,2020.0,City Council Strategy 2013-2016,"(60.1733244, 24.9410248)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Helsinki,Finland,Helsinki,,2016.0,Total,"per capita emissions based on energy consumption, transport and waste management",1990,3615000.0,39.0,2030.0,Climate strategy for the metropolitan area. Target achieved in 2014.,"(60.1733244, 24.9410248)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Helsinki,Finland,Helsinki,,2016.0,Total,"Energy consumption in the area, transport emissions, waste water management",1990,3615000.0,20.0,2020.0,"City's energy policy lines, Covenant of Mayors. Target achieved in 2013.","(60.1733244, 24.9410248)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Lahti,Finland,Lahti,,2016.0,Buildings,"Energy production (electricity and heating)
Energy effiency
Waste treatment
Traffic
Residents's attitudes",1990,747000.0,35.0,2020.0,In the City strategy: -50% by 2015 (from 1990 level),"(60.9833, 25.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Leicester,United Kingdom,Leicester,,2016.0,Other,Within the scope of the local authority,1990,2388300.0,50.0,2025.0,"Transport, domestic electricity and gas use, and industrial electricity and gas use","(52.6333, -1.1333)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Lisbon,Portugal,Lisbon,,2016.0,Other,,2002,3887013.0,20.0,2020.0,,"(38.7222524, -9.1393366)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Porto,Portugal,Porto,,2016.0,Total,Community emissions,2004,1300000.0,45.0,2020.0,Sustainable Energy Action Plan reduction target. Reductions from action at a local level (demand management) and national level (supply management).,"(41.1579438, -8.6291053)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Reykjavík,Iceland,Reykjavík,,2016.0,Total,"Transportation, land use and waste",2007,339990.0,35.0,2020.0,,"(64.12652, -21.81744)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Reykjavík,Iceland,Reykjavík,,2016.0,Total,"Transportation, land use and waste",2007,339990.0,73.0,2050.0,,"(64.12652, -21.81744)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Turku,Finland,Turku,,2016.0,Total,"all, but only scopes 1 and 2 are actually measured",2013,1107500.0,100.0,2040.0,"In 2014 ambitious target was set by the city council, which aims to make Turku carbon-neutral by 2040.","(60.4518126, 22.2666303)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Wroclaw,Poland,City of Wroclaw,,2016.0,Total,,1990,6988259.0,21.0,2020.0,,"(51.107885, 17.038538)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Zaragoza,Spain,Zaragoza,,2016.0,Other,Sectores industrial y primario,2010,1237553.0,20.0,2020.0,,"(41.608629, -0.887012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Bologna,Italy,Bologna,,2016.0,Other,City Energy consumption,2005,2288510.0,21.0,2020.0,4%  reduction obetained at  the end of 2010,"(44.4856087, 11.3547975)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Bolzano,Italy,Bolzano,,2016.0,Total,,2010,520715.0,23.0,2020.0,,"(46.499681, 11.356576)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Ferrara,Italy,Ferrara,,2016.0,Total,"buildings, equipment, facilities and industries; transport; waste management, waste water management, othe emissions (agricolture and other sources)",2007,1582605.13,25.5,2020.0,,"(44.8357395, 11.6189949)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Genova,Italy,Genova,,2016.0,Other,SEAP,2005,2215759.0,23.0,2020.0,,"(44.347961, 9.318415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Padova,Italy,Padova,,2016.0,Total,Total inventory (sectors and specific projects see below),2005,1892158.0,20.0,2020.0,"In addition to the emission-reducing activities mentioned below, the emission-reducing activities on local government level are part of the total reduction aim of 20%.","(45.406958, 11.876386)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Ann Arbor,USA,Ann Arbor,,2016.0,,,2000,,80.0,2050.0,,"(42.2808, -83.743)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Piacenza,Italy,Piacenza,,2016.0,,,1990,263270.0,20.4,2020.0,"The emission reduction is calculated with respect to the reference scenario (BAU) in 2020.
Were considered only CO2 emissions related to the areas of competence of the Municipality of Piacenza.","(45.0519969, 9.6926451)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Ravenna,Italy,Ravenna,,2016.0,Total,Entire emissions inventory,2007,1683317.65,23.9,2020.0,This target is related to CO2 emission and was set in the Covenant of Mayors. The target is applied to the whole CO2 emissions including together Local Government Operations and Community.,"(41.913028, 12.518037)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Udine,Italy,Udine,,2016.0,Total,"electricity production, agriculture, transports, industry,  commercial and residential",2006,692479.0,20.0,2020.0,,"(46.0667, 13.2333)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dublin City Council,Ireland,Dublin,,2016.0,Total,all,2006,5054000.0,20.0,2020.0,,"(53.344479, -6.270843)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free and Hanseatic City of Hamburg,Germany,Hamburg,,2016.0,Total,CO2,1990,20727000.0,80.0,2050.0,,"(53.5510846, 9.9936818)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free and Hanseatic City of Hamburg,Germany,Hamburg,,2016.0,Total,CO2,1990,20727000.0,50.0,2030.0,,"(53.5510846, 9.9936818)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Stockholm,Sweden,Stockholm,C40,2016.0,Other,"CO2, CH4, N20 and Energy for heating and cooling, electricity use and Energy for transport",1990,3668000.0,100.0,2040.0,Roadmap to a Fossil free-fuel Stockholm 2050 (being updated to 2040) according to Stockhom City's budget.,"(59.3293235, 18.0685808)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funchal,Portugal,Funchal,,2016.0,Total,"The Municipality will intervene in several fields such as buildings, electricity, primary, secundary and tertiary sector, transportation, land planning, among other.",2010,515593.0,20.0,2020.0,"The Municipality is a member of the Covenant of Mayors, an european compromise to reduce the CO2 levels in 20%.","(32.666933, -16.924055)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gdańsk,Poland,Gdańsk,,2016.0,Total,"The energy sector (actions independent of the local government); The construction sector (including households, public buildings, etc.); Transportation, environmental education, other activities.",2013,3551302.0,21.0,2020.0,,"(54.352025, 18.646638)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladsaxe Kommune,Denmark,Gladsaxe Kommune,,2016.0,Total,Total municipal inventory,2007,499740.0,20.0,2020.0,,"(55.733461, 12.488686)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City Council,United Kingdom,Glasgow,,2016.0,,,2006,39873000.0,30.0,2020.0,,"(55.859272, -4.212783)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Manchester,United Kingdom,Manchester,,2016.0,Total,"Direct emissions from road transport and rail, and domestic and industrial emissions from electricity (end user) gas, oil and solid fuels, as well as emissions from land use, land use change, and forestry",1990,21200000.0,48.0,2020.0,"See Climate Change and Low Emission Strategies’
Whole Place Implementation Plan for Greater Manchester
(2016-2020) (attached for detailed actions.","(53.4575955, -2.1578377)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoeje-Taastrup Kommune,Denmark,Hoeje-Taastrup Kommune,,2016.0,Total,,2012,310000.0,98.0,2050.0,"until 2020 3 % reduction per year
2035 Fossil free electricity and heating supply
2050 Fossil free electricity and heating supply and the transport sector
2050 98 % reduction (baseline 2012)","(55.656328, 12.2898)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hørsholm Kommune,Denmark,Hørsholm Kommune,,2016.0,Total,,2010,182657.0,20.0,2020.0,,"(55.883514, 12.504924)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
